PROD_CODIGO;PROD_COD_BAR;PROD_DESCRICAO
18150;7898506461974;ADAPT T3 SAIDAS 2 PINOS MULTILASER WI242 UND
18149;7898506460373;ADAPT T3 SAIDAS 3 PINOS MULTILASER WI224 UND
26405;7899838822013;ADAPTADOR MULTILASER DE 2 TOMADAS E 2 USB 2.1A WI331
24291;7899838879659;ADAPTADOR P2-P3 MULTILASER WI409
24293;7899838879666;ADAPTADOR P3-P2 MULTILASER WI410
5637;7898458706727;ADAPTADOR T TRIPLO MULTILASER WI10085ML
13003;7898476326075;ADAPTADOR UNIVERSAL DE TOMADA MULTILASER WI146
5639;7898458700930;ADAPTADOR USB AF / AF AD50011ML MULTILASER
5640;7898458700947;ADAPTADOR USB AM / AM AD50012ML MULTILASER
5642;7898458704525;ADAPTADOR USB FEMEA - PS2 AD50022ML MULTILASER
9390;7898458704525;ADAPTADOR USB FEMEA MULTILASER WI172
5643;7898458705089;ADAPTADOR USB MACHO-PS2 FEM AD50023ML MULTILASER
19367;7898506457144;ADAPTADOR WIRELESS USB 150MBPS RE035 MULTILASER
19991;7898506462094;ADAPTADOR WIRELESS USB 300MBPS 2.0 2.4GHZ MULTILASER RE052
20379;7899838829968;AIR FRYER 220V 1500W CAPACIDADE 4L MULTILASER CE022
24835;7899838858869;AIR FRYER 220V 1500W CAPACIDADE 4L MULTILASER CE084 VERMELHA
23986;7899838895802;APARADOR DE PELOS FEMININO MULTILASER EB079 BIVOLT
20202;7899838824383;APARADOR DE PELOS MULTILASER EB11 BIVOLT
20739;7899838819709;APRESENTADOR LASER POINT MULTILASER AC294 PRETO
17488;7898506469215;APRESENTADOR LASER POINT MULTILASER PRETO AC251
18141;7898506457984;APRESENTADOR LASER PRESENTER MULTILASER AC164
23485;7899838848679;ASPIRADOR ROBO MULTILASER BIVOLT HO041
23873;7899838848679;ASPIRADOR ROBO MULTILASER BIVOLT 3 EM 1 HO041
17107;7898506467150;AUTO RADIO CD-PLAYER MULTILASER FREEDOM P3239
13886;7898506460762;AUTO RADIO MP3 PLAYER FM/USB/SD P3209 MULTILASER BLUETOOTH
15746;7898506461776;AUTO RADIO MULTILASER ONE MP3 FM SD P3213 PRETO
14922;7898506461967;AUTO RADIO MULTILASER TALK P3214
21901;7899838806051;BALANCA DIGITAL DIGI-HEALTH MULTILASER HC022 PRETA
20875;7899838827643;BALANCA DIGITAL EATSMART MULTILASER HC039
20873;7899838842271;BATEDEIRA PLANETARIA 500W 4L 6 VELOCIDADES MULTILASER CE056
13840;7898506460700;BOLSA FEMININA P/NOTEBOOK 15,6 ROSA MULTILASER  BO170
13994;7898506460717;BOLSA FEMININA P/NOTEBOOK 15.6 VM MULTILASER BO171
9837;7898506453252;BOLSA MULTILASER PRETO BO091
12285;7898506456444;BOLSA P/NOTE FEMININA 14 PT MULTILASER BO102
12286;7898506456451;BOLSA P/NOTE FEMININA 14 RS MULTILASER BO103
18559;7898506460724;BOLSA P/NOTEBOOK 15,6 PRETA MULTILASER BO172
20239;7899838821757;CABO CCI P/CFTV 4 PARES 24AWG SE139 MULTILASER 305MTS
