PROD_CODIGO;PROD_COD_BAR;PROD_DESCRICAO
5906;7898105771511;ABRACADEIRAS NYLON 100X2,5 BRANCA C/100 FOXLUX 1801
5905;7898105771610;ABRACADEIRAS NYLON 100X2,5 PRETA C/100 FOXLUX 1811
7560;7898105771528;ABRACADEIRAS NYLON 140X2,5 BRANCA C/100 1802
15770;7898105771542;ABRACADEIRAS NYLON 140X3,5 BRANCA C/100 1804
15769;7898105771535;ABRACADEIRAS NYLON 200X2,5 BRANCA C/100 FOXLUX 1803
15771;7898105771559;ABRACADEIRAS NYLON 200X3,5 BRANCA C/100 FOXLUX 1805
15768;7898105771566;ABRACADEIRAS NYLON 280X3,5 BRANCA C/100 FOXLUX 1806
26807;7898105771580;ABRACADEIRAS NYLON 280X4,8MM BRANCA C/100 FOXLUX 1808
26823;7898105771689;ABRACADEIRAS NYLON 280X4,8MM PRETA C/100 FOXLUX 1818
20826;7896637680011;ACCESS POINT WIRELESS DUAL BAND 1167MBPS AP 1210 AC INTELBRAS 4750056
19947;7899536366345;ACCESS POINT WIRELESS DUAL BAND 300MBPS UAP-LR UBIQUITI
18240;7896637656603;ACCESS POINT/ROTEADOR WISEFI AP300 INTELBRAS 4750027
6634;7893007680374;ACCESS WIRELESS 54M TL-WA501GN TP-LINK
21430;7896637683913;ACIONADOR ABERTURA INFRAVERMELHO BT 4000 INTELBRAS 4675012
25031;7899298617730;ACIONADOR ABERTURA INFRAVERMELHO BT 4001 INTELBRAS 4675040
25445;7899298625919;ACIONADOR ABERTURA INOX EMBUTIR  BT 5001 INTELBRAS 4675050
21331;7896637684774;ACIONADOR ABERTURA INOX EMBUTIR 4X2 BT 5000IN INTELBRAS 4685000 BOTOEIRA
23465;7899298610687;ACIONADOR DE CORTINAS SMART IAC 110 INTELBRAS 4661111
18077;7896637673280;ACIONADOR DE EMERGENCIA REARMAVEL AS2010 INTELBRAS 4675011
25396;7899298623724;ACIONADOR DE PORTAO BASCULANTE INTELBRAS 1.4M 5/8 60MM NYL 4661410
25397;7899298623717;ACIONADOR DE PORTAO BASCULANTE INTELBRAS 2.0M 5/8 60MM NYL 4662010
20848;7896637660006;ACIONADOR DE SAIDA INOX COMPATIVEL CAIXA 4X2 (BT2000 IN) INTELBRAS 4675002
18206;7896637668736;ACIONADOR MANUAL CONVENCIONAL AMC 320 INTELBRAS 4612033
18664;7896637674317;ACIONADOR MANUAL CONVENCIONAL AMC 420 INTELBRAS 4612035
24158;7896637683555;ACIONADOR MANUAL CONVENCIONAL C/ SIRENE AMC 422 INTELBRAS 4610422
24789;7896637683562;ACIONADOR MANUAL CONVENCIONAL S/ SIRENE AMC 421 INTELBRAS 4610421
24701;7896637627726;ACIONADOR MANUAL DE BOMBA AMB 3201 INTELBRAS 4611100
18205;7896637668729;ACIONADOR MANUAL ENDERECAVEL AME 320 INTELBRAS 4612032
17388;7896637654708;ACIONADOR MANUAL ENDERECAVEL C/MARTELO IP20-QB INTELBRAS 4612008 VIDRO S/SIRENE
22070;7896637685719;ACIONADOR MANUAL ENDERECAVEL C/SIRENE AME522 INTELBRAS 4610522
17911;7896637654692;ACIONADOR MANUAL ENDERECAVEL IP20-QB INTELBRAS 4612007 (C/MARTELO/VIDRO/SIRENE)
21250;7896637685726;ACIONADOR MANUAL ENDERECAVEL S/SIRENE AME521 INTELBRAS 4610521
23468;7899298610670;ACIONADOR WI-FI SMART IGD 110 INTELBRAS 4661110
26598;7899298667865;ACIONADOR WI-FI SMART MCP 1001 INTELBRAS 4660139
23069;7897287491385;ACIONAMENTO BV HOME ANALOG./ HIBRIDA TRILHO DE 1,50MTS PPA A16968
23473;7897287454076;"ACIONAMENTO PIVO PISTON COND. JET FLEX HIBR. STANDARD 0,65MTS 5/8"" PPA A16510"
