codigo_de_barras;nome_produto;imagem;comprimento;largura;altura;dimensoes_unidade;peso;peso_unidade
7898105771511;Abraçadeiras Nylon 100X2.5 Branca C/100;https://m.media-amazon.com/images/I/513amD8FgKL.__AC_SX300_SY300_QL70_ML2_.jpg;19;15.4;0.6;centímetros;0.03;g
7898105771528;Foxlux Abraçadeiras Nylon 140x2.5 Branca - Pacote com 100 Unidades;https://m.media-amazon.com/images/I/31Ltckh9u-L.__AC_SX300_SY300_QL70_ML2_.jpg;31.8;12;1.2;centímetros;0.04;g
7898105771535;Foxlux Abraçadeiras Nylon 200x2.5 Branca - Pacote com 100 Unidades;https://m.media-amazon.com/images/I/51gyU9e-e8L.__AC_SX300_SY300_QL70_ML2_.jpg;31.8;12;0.1;centímetros;0.06;g
7898105771559;Abraçadeiras Nylon 200X3.5 Branca C/100;https://m.media-amazon.com/images/I/51jTXT4DHvL.__AC_SX300_SY300_QL70_ML2_.jpg;28.8;8;1;centímetros;0.1;g
7898105771566;Foxlux Abraçadeiras Nylon 280x3.5 Branca - Pacote com 100 Unidades;https://m.media-amazon.com/images/I/51gyU9e-e8L.__AC_SX300_SY300_QL70_ML2_.jpg;42.2;10.6;1.2;centímetros;0.15;g
7898105771580;Foxlux Abraçadeiras Nylon 280x4.8 Branca - Pacote com 100 Unidades;https://m.media-amazon.com/images/I/51gyU9e-e8L.__AC_SX300_SY300_QL70_ML2_.jpg;41;14.2;0.6;centímetros;0.18;g
7898105771689;Foxlux Abraçadeiras Nylon 280x4.8 Preta - Pacote com 100 Unidades;https://m.media-amazon.com/images/I/519ptOTEbyL.__AC_SX300_SY300_QL70_ML2_.jpg;37.6;16.4;0.6;centímetros;0.18;g
7899536366345;Acess Point AP Unifi AP LR Long Range uap-lr - Ubiquiti;https://m.media-amazon.com/images/I/61Te+5l-54L._AC_SX300_SY300_.jpg;21.8;20.8;8.4;centímetros;290;g
7896637683913;Acionador Abertura Infravermelho BT 4000 Intelbras;https://m.media-amazon.com/images/I/41HrDtxheqL.__AC_SX300_SY300_QL70_ML2_.jpg;10;10;5;centímetros;100;g
7896637684774;Acionador Botoeira Intelbras INOX Embutir 4X2 5000IN 4685000;https://m.media-amazon.com/images/I/51o7P3gSo8L.__AC_SX300_SY300_QL70_ML2_.jpg;10;10;5;centímetros;150;g
7896637673280;ACIONADOR DE EMERGÊNCIA REARMÁVEL AS 2010;https://m.media-amazon.com/images/I/415cICjAQIS.__AC_SX300_SY300_QL70_ML2_.jpg;50;50;50;milímetros;300;g
7899298623717;ACIONADOR DE PORTAO BASCULANTE 2 METROS 5/8 6MM INTELBRAS 4662010;https://m.media-amazon.com/images/I/41KuNknvA2L.__AC_SY300_SX300_QL70_ML2_.jpg;2000;2000;2000;cm;20;quilogramas
7896637660006;;;16;11;11;cm;500;gramas
7896637685719;Acionador de Incêndio Manual Endereçável com Sirene AME 522 4610522 Intelbras;https://m.media-amazon.com/images/I/515EKCpZjWL.__AC_SX300_SY300_QL70_ML2_.jpg;16;14;11;cm;200;g
7896637685726;ACIONADOR MANUAL ENDEREÇÁVEL S/SIRENE AME 521 INTELBRAS;https://m.media-amazon.com/images/I/519rFyDqyBL.__AC_SX300_SY300_QL70_ML2_.jpg;10;9;7;centímetros;60;g
7899298610670;intelbras Acionador de Portão Wi-Fi Smart IGD 110 Compatível com Alexa Branco;https://m.media-amazon.com/images/I/41GfXojOI8L.__AC_SX300_SY300_QL70_ML2_.jpg;15.8;11.2;5.2;centímetros;128;g
7899298667865;Acionador Wi-fi Smart MCP 1001 Branco Intelbras;https://m.media-amazon.com/images/I/61rphOeYXNL.__AC_SY300_SX300_QL70_ML2_.jpg;15.8;11.4;4.8;centímetros;180;g
7898566205143;Adaptador Display Portátil para HDMI, Storm, 15 cm;https://m.media-amazon.com/images/I/51-Ci6oziZL.__AC_SY300_SX300_QL70_ML2_.jpg;21.4;12;1.2;centímetros;49;g
7898566205150;Adaptador Display Portátil Para VGA 15cm ADAP0044 Branco STORM, Storm, Outros acessórios para notebooks;https://m.media-amazon.com/images/I/51ccKqO+ItL._AC_SX300_SY300_.jpg;22;12;1.4;centímetros;48;g
7898615157348;Adaptador P2 x P3 Headset Fone Microfone e Console;https://m.media-amazon.com/images/I/41OQqKfoAsL.__AC_SX300_SY300_QL70_ML2_.jpg;16;12;3;centímetros;40;g
7898555215443;Cabo Adaptador HDMI Fêmea para Mini DisplayPort PlusCable Preto ADP-104BK - Suporta Resoluções Full HD Com Tranferência de Áudio;https://m.media-amazon.com/images/I/41R+kSs1MIL._AC_SY300_SX300_.jpg;16.2;6;0.4;centímetros;15;g
7898555215474;Cabo Adaptador HDMI Fêmea para Mini DisplayPort PlusCable Preto ADP-202BK - Suporta Resoluções Full HD Com Tranferência de Áudio;https://m.media-amazon.com/images/I/412+1bAetgL._AC_SY300_SX300_.jpg;16.5;16.5;10;centímetros;15;g
7896586816301;;;0.01;0.01;0.01;cm;20;g
7898555215412;Cabo Adptador HDMI Fêmea para USB-C Macho PlusCable Preto ADP-303BK - Contém USB 3.1 Suporta Resoluções 4K Compatível com Celular,Tablet,Computador Com Tranferência de Áudio;https://m.media-amazon.com/images/I/41sMppPWc4L.__AC_SX300_SY300_QL70_ML2_.jpg;15.8;10.2;2;centímetros;15;g
7898922999518;UBIQUITI ACCESS POINT UNIFI-LR MIMO 300MBPS LONGO ALCANCE;https://m.media-amazon.com/images/I/41A-IF2qqGL.__AC_SX300_SY300_QL70_ML2_.jpg;26;26;9;centímetros;600;g
7899298651390;;;7.5;6;15.5;cm;140;g
7899298651383;Adaptador Elétrico 2 tomadas 2 USB EAC 202 Branco Intelbras;https://m.media-amazon.com/images/I/61kdyyHvWvL.__AC_SX300_SY300_QL70_ML2_.jpg;13;7.6;6.2;centímetros;140;g
7898555215481;Adaptador DisplayPort Macho para HDMI Fêmea PlusCable Preto ADP-103BK - Conector banhado à ouro, Resolução FullHD, DisplayPort 1.4 e HDMI 1.4, Pequeno;https://m.media-amazon.com/images/I/51klU-F-FbL.__AC_SX300_SY300_QL70_ML2_.jpg;16;10;2;centímetros;40;g
7898587271455;Adaptador Duo audio e recarga para Iphone - OEX AD200 - Prata;https://m.media-amazon.com/images/I/312sk7GN8lL.__AC_SX300_SY300_QL70_ML2_.jpg;10;6.5;1.4;centímetros;100;g
7899744038409;PIX, 003-0089, Adaptador DVI - DVI 18+1 Macho Para HDMI Femea;https://m.media-amazon.com/images/I/81vrdA+N1NS._AC_SX300_SY300_.jpg;7.6;7.6;1.4;centímetros;20;g
7898575248155;Pix, 003-8600, Adaptador DVI - DVI 24+1 Macho Para HDMI Femea;https://m.media-amazon.com/images/I/51w54g1UeGL.__AC_SY300_SX300_QL70_ML2_.jpg;10;8;1.2;centímetros;40;g
7899744031332;Pix, 003-0001, Adaptador DVI - DVI 24+5 Macho Para VGA Femea;https://m.media-amazon.com/images/I/51oPVWCg4PL.__AC_SY300_SX300_QL70_ML2_.jpg;7.8;6.4;2;centímetros;110;g
7890020010010;Adaptador Hitto DVI (macho) P/VGA (fêmea) WB-DM/VF;https://m.media-amazon.com/images/I/61dbXX136ML.__AC_SX300_SY300_QL70_ML2_.jpg;25;8;8;cm;40;g
7898555215450;PlusCable Cabo Adaptador DVI Fêmea para Mini DP Macho Preto - Suporta Resoluções Full HD ADP-204BK;https://m.media-amazon.com/images/I/41QfUDuRSYL.__AC_SX300_SY300_QL70_ML2_.jpg;15.6;9.4;1.6;centímetros;20;g
7898575246212;Pix, 003-8603, Adaptador HDMI PLA stico - HDMI Macho Para HDMI Femea 90 Graus;https://m.media-amazon.com/images/I/61kRiLuWnWL.__AC_SY300_SX300_QL70_ML2_.jpg;10.2;7.8;1.4;centímetros;20;g
7898575242528;Adaptador Micro HDMI para HDMI Fêmea 90 Graus, 003-8504 - PIX;https://m.media-amazon.com/images/I/710Jq3RpCsS.__AC_SY300_SX300_QL70_ML2_.jpg;10.6;7.5;2;centímetros;10;g
7899838822013;Adaptador 2 Saidas 2P+T com 2 Portas USB 2.1A Multilaser - WI331;https://m.media-amazon.com/images/I/41wAPP+9dkL._AC_SY300_SX300_.jpg;10.4;4.2;3.2;centímetros;90;g
7899744038591;5+, 003-0140, Adaptador Otg Tipo C 3.1 Para USB Femea;https://m.media-amazon.com/images/I/61VgG6WUrJS.__AC_SX300_SY300_QL70_ML2_.jpg;14.4;10.4;1.6;centímetros;20;g
