codigo_de_barras;nome_produto;imagem;comprimento;largura;altura;dimensoes_unidade;peso;peso_unidade
7899838805405;Conversor Hdmi M X Vga F C/Saida Audio - WI293;https://m.media-amazon.com/images/I/41CZ2r5WHKL.__AC_SX300_SY300_QL70_ML2_.jpg;18.2;11.4;2.8;centímetros;800;g;
7898566205129;Conversor HDMI x VGA com Áudio ADAP0038 Branco STORM, Storm, Outros acessórios para notebooks;https://m.media-amazon.com/images/I/51yIz8vWAXL.__AC_SX300_SY300_QL70_ML2_.jpg;21.6;11.8;1.4;centímetros;7;g;
7899838846279;Conversor Adaptador USB Tipo C para HDMI 4K Ultra HD Multi - WI373;https://m.media-amazon.com/images/I/41wipczkATL.__AC_SX300_SY300_QL70_ML2_.jpg;22.6;11.1;2.6;centímetros;60;g;
7899838846262;Conversor 60Hz 1920x1080 USB 3.1 Type C Macho X VGA 1080P Fêmea - WI372;https://m.media-amazon.com/images/I/51m9MafwoCL.__AC_SX300_SY300_QL70_ML2_.jpg;22.8;11.4;2.4;centímetros;56;g;
7899838829470;;;22.7;2;11.2;cm;0.1;g;
7899838829487;Cabo Conversor Usb Macho X Vga Femea Multilaser - WI348;https://m.media-amazon.com/images/I/41evKK-wnIL.__AC_SX300_SY300_QL70_ML2_.jpg;21.6;10.2;1.6;centímetros;0.1;g;
7898458701487;Cabo Multilaser Conversor - Usb Amxserial - WI047;https://m.media-amazon.com/images/I/71lSxC60T2L.__AC_SY300_SX300_QL70_ML2_.jpg;22.6;12.8;4;centímetros;0.2;g;
7898458701470;Cabo Multilaser Conversor Usb Amxps2F - WI046;https://m.media-amazon.com/images/I/515epzkS4cL.__AC_SX300_SY300_QL70_ML2_.jpg;19.4;13;1;centímetros;0.1;g;
7898562691162;Conversor USB 2.0 para Sata HDD Comtac 9296;https://m.media-amazon.com/images/I/41M-MqL80eS.__AC_SX300_SY300_QL70_ML2_.jpg;13.6;10.2;1.4;centímetros;32;g;
7899838800349;Conversor Vga M X Hdmi F C/ Áudio Multilaser - WI280;https://m.media-amazon.com/images/I/51x6QndQD4L.__AC_SY300_SX300_QL70_ML2_.jpg;24;15;1.4;centímetros;0.12;g;
7899278923325;Cabo Alarme, Megatron, 2332;https://m.media-amazon.com/images/I/81wmYfl-yIL.__AC_SY300_SX300_QL70_ML2_.jpg;21.6;21;6.2;centímetros;;;
7899278927903;Cabo De Alarme Megacabos 4px0,5 Cx 300m Azul;https://m.media-amazon.com/images/I/51Rr29tJweL._SY445_SX342_QL70_ML2_.jpg;33;33;19;cm;33;x;
7899744041980;5+ Cabo de Dados Sata para Hd - 45 cm;https://m.media-amazon.com/images/I/71f2pzmM7sL.__AC_SY300_SX300_QL70_ML2_.jpg;15.2;8.8;0.8;centímetros;20;g;
7896637601924;Cabo engate rápido para conexão de baterias externas CBO 601 Intelbras;https://m.media-amazon.com/images/I/51ZGaG+C4RL._AC_SY300_SX300_.jpg;24;12;3;centímetros;242;kilograms;
7896637601252;Cabo engate rápido para conexão de baterias externas CBO 603 Intelbras;https://m.media-amazon.com/images/I/51472yo341L.__AC_SX300_SY300_QL70_ML2_.jpg;24;12;2;centímetros;278;kilograms;
7898506460120;Cabo de Força Monitor Multilaser 1,5m NBR 14136 / IEC320 C13 - WI223;https://m.media-amazon.com/images/I/71xHh-nPNaL.__AC_SY300_SX300_QL70_ML2_.jpg;27;23.4;2.6;centímetros;0.1;g;
7899278902535;Cabo de força para Note C7 (oitinho) 1,80 m preto;https://m.media-amazon.com/images/I/71suufvZCHL.__AC_SX300_SY300_QL70_ML2_.jpg;21.7;16.8;2.8;centímetros;120;g;
7899744025201;GREEN Cabo Radio Gravador Tipo 8, Green - 2 X 0.75 Mm - 1.5M - 90 Graus;https://m.media-amazon.com/images/I/61qaeCFIiqL.__AC_SX300_SY300_QL70_ML2_.jpg;24;10;2;centímetros;0.8;g;
7898615153685;Cabo De Forca Tripolar 10A 1 2M 111573;https://m.media-amazon.com/images/I/61FBjGnDZvL.__AC_SX300_SY300_QL70_ML2_.jpg;15.2;10.2;2.6;centímetros;109;g;
7899018404312;Cabo de Força para Ligação do Computador ou Monitor, Force Line, Acessórios para Computador, Preto;https://m.media-amazon.com/images/I/518tg9RQ88S.__AC_SX300_SY300_QL70_ML2_.jpg;28.7;12.8;2.6;centímetros;137;g;
7898615158277;Cabo de Força Notebook MD9 1.8m Xcell XC-CF-07;https://m.media-amazon.com/images/I/61mQRM00RfL.__AC_SX300_SY300_QL70_ML2_.jpg;23.6;16;3;centímetros;150;g;
