codigo_de_barras;nome_produto;imagem;comprimento;largura;altura;dimensoes_unidade;peso;peso_unidade
7898562690653;Hub Usb 2.0 7 Portas Slim Comtac 9249;https://m.media-amazon.com/images/I/41dnSpnbW8S.__AC_SX300_SY300_QL70_ML2_.jpg;17.5;12.8;6.4;centímetros;161;g;
7898506454136;Hub Multilaser Usb 3 Portas + Leitor De Cartão 2.0 - AC121;https://m.media-amazon.com/images/I/61eM6lX3wAL.__AC_SX300_SY300_QL70_ML2_.jpg;18.8;12.6;4.4;centímetros;0.2;g;
7897975068196;Hub 5 Portas Usb Ps4 Dazz, Outros acessórios para notebooks;https://m.media-amazon.com/images/I/61FCgNw-50L.__AC_SY300_SX300_QL70_ML2_.jpg;18.2;11.4;4.8;centímetros;0.25;g;
7899838816500;Hub USB 4 Portas 3,0 Super Speed Multi - AC289;https://m.media-amazon.com/images/I/511YjmZSACL.__AC_SY300_SX300_QL70_ML2_.jpg;22.2;13.2;2.8;centímetros;75;g;
7898700014501;ELG, HUB41A-V2, Adaptador HUB USB 4 em 1, Entrada Tipo-C, Com 4 Saídas USB-A, UBS 2.0 e 3.0, Velocidade Até 5Gbps, Fabricado em Alumínio, Cinza;https://m.media-amazon.com/images/I/41G5CSLFmoL.__AC_SX300_SY300_QL70_ML2_.jpg;15.8;10;0.4;centímetros;40;g;
7898587273633;Distribuidor de Conexão HUB Type C para USB OEX HB104 - Chumbo;https://m.media-amazon.com/images/I/31suYde2dKL.__AC_SX300_SY300_QL70_ML2_.jpg;14;7.5;2;centímetros;240;g;
7898587273657;Distribuidor de Conexão HUB USB-C 3.0 OEX HB103 - Preto;https://m.media-amazon.com/images/I/41x4iYL7fBL.__AC_SX300_SY300_QL70_ML2_.jpg;14;7.5;2;centímetros;28;g;
7897982207427;Bright HUB USB 4 PORTAS 3.0;https://m.media-amazon.com/images/I/51A0lju-eSL.__AC_SX300_SY300_QL70_ML2_.jpg;17;11;1;centímetros;100;g;
7897075810329;Impressora de Cheques Checkprinter II, USB - Bivolt;https://m.media-amazon.com/images/I/51bZJOA1zdL.__AC_SX300_SY300_QL70_ML2_.jpg;29.8;27.4;18.6;centímetros;3.5;kilograms;
7897013570964;Impressora Térmica para Recibo e NFC-e Elgin I9 com Guilhotina - USB e Ethernet;https://m.media-amazon.com/images/I/51eYvEWVthL.__AC_SX300_SY300_QL70_ML2_.jpg;33;22;20;centímetros;2.6;kilograms;
7897013570889;;;33;23;20;cm;18;g;
7897013517679;Impressora não fiscal I9 Full Bematech USB Ser. ETH;https://m.media-amazon.com/images/I/51M8nAk6kfL.__AC_SX300_SY300_QL70_ML2_.jpg;28;27;24;centímetros;1.8;kilograms;
7897013517686;Impressora Térmica, Elgin, Não Fiscal, I9, Full-Usb, Ethernet, PRETO, Único, 46I9USECKD02;https://m.media-amazon.com/images/I/51AG5xFJ16L.__AC_SX300_SY300_QL70_ML2_.jpg;32.6;23.2;19.8;centímetros;1.6;kilograms;
7897013517730;Impressora Termica L42pro Etiquetas 203dpi Usb;https://m.media-amazon.com/images/I/41I4HrNlRDL._SY445_SX342_QL70_ML2_.jpg;33;25;20;cm;3;quilogramas;
7896637674324;Injetor Conversor, Intelbras, POE 200 AT, Preta, único;https://m.media-amazon.com/images/I/310dsJFFcbL.__AC_SX300_SY300_QL70_ML2_.jpg;20.5;16.2;4.7;centímetros;0.2;g;
7896637685221;Interface Celular 3G Wifi ITC 5100 Preto Intelbras;https://m.media-amazon.com/images/I/31lSRd7rsvL.__AC_SX300_SY300_QL70_ML2_.jpg;;;;;
7896637610193;Interface E1 Impacta 68 Intelbras;https://m.media-amazon.com/images/I/51SsJsh3MaL.__AC_SX300_SY300_QL70_ML2_.jpg;21;16;12;cm;12;x;
