codigo_de_barras;nome_produto;imagem;comprimento;largura;altura;dimensoes_unidade;peso;peso_unidade
7896637679176;Módulo Expansor de Entrada e Saída de Alarme para DVR Intelbras - Multi-BOX Intelbras;https://m.media-amazon.com/images/I/411pzbIvjOL.__AC_SX300_SY300_QL70_ML2_.jpg;10;10;5;centímetros;500;g;
7896637676175;;;40;40;40;cm;50;gramas;
7896637679077;;;10;10;6;cm;50;g;
7896637673006;MODULO GPRS INTELBRAS XG 4000 SMART;https://m.media-amazon.com/images/I/310uFIgmx4L.__AC_SY300_SX300_QL70_ML2_.jpg;14;9;4;centímetros;100;gramas;
7896637657341;MODULO INTELIGENTE DE PORTARIA INTELBRAS MIP 1000;https://m.media-amazon.com/images/I/51nTPYgAyqL.__AC_SX300_SY300_QL70_ML2_.jpg;40;25;10;centímetros;500;g;
7899298632566;Módulo Interno Campainha Intelbras CMI 101 Branco;https://m.media-amazon.com/images/I/31zntSX01WL.__AC_SX300_SY300_QL70_ML2_.jpg;9.5;8.6;7;centímetros;100;g;
7899298632634;Módulo Interno Campainha Intelbras CMI 101 Preta;https://m.media-amazon.com/images/I/41hPxpCboGL.__AC_SX300_SY300_QL70_ML2_.jpg;9.2;8.4;6.6;centímetros;80;g;
7896637693721;INTELBRAS Módulo Interno Para Videoporteiro Allo Wt7 Prata;https://m.media-amazon.com/images/I/51PBULlyvLL.__AC_SX300_SY300_QL70_ML2_.jpg;28.6;20.3;5.7;centímetros;;;
7896637635684;Módulo Interruptor Relé Intelbras Sem Fio Allo XR1 Branco;https://m.media-amazon.com/images/I/41pqxWGlasL.__AC_SX300_SY300_QL70_ML2_.jpg;11.2;8.8;3.2;centímetros;48;g;
7896637666923;Módulo Mini-Gbic Gigabit Monomodo Kgsd 2110 A, Intelbras, Metal, Único, Pacote De 1;https://m.media-amazon.com/images/I/51gRioa1AoL.__AC_SY300_SX300_QL70_ML2_.jpg;12.8;8.5;3;centímetros;0.02;g;
7896637666916;Módulo Mini-Gbic Gigabit Monomodo Kgsd 2110 B, Intelbras, Metal, Único, Pacote De 1;https://m.media-amazon.com/images/I/31ByeysufoL.__AC_SX300_SY300_QL70_ML2_.jpg;12.8;8.5;3;centímetros;0.02;g;
7896637667807;Módulo Mini-Gbic Gigabit Monomodo Kgs 2110, Intelbras, Metal, Único, Pacote De 1;https://m.media-amazon.com/images/I/5146n7mLGKL.__AC_SX300_SY300_QL70_ML2_.jpg;12.8;8.5;3;centímetros;0.02;g;
7896637667791;MODULO GBIC Intelbras GIGA MULTI 0.5KM KGM 2105;https://m.media-amazon.com/images/I/51hpiXaqNDL.__AC_SX300_SY300_QL70_ML2_.jpg;20;15;10;centímetros;100;g;
7896637613422;;;5.5;1.4;1.2;cm;0.02;g;
