codigo_de_barras;nome_produto;imagem;comprimento;largura;altura;dimensoes_unidade;peso;peso_unidade
7897975099893;Mouse Dexter Bluetooth 1600 DPI, Maxprint, 60000046, Preto;https://m.media-amazon.com/images/I/41-15Z7RljL.__AC_SX300_SY300_QL70_ML2_.jpg;15.4;9.8;4;centímetros;40;g;
7897982200480;Bright, Mouse Standard Na Cor Preto, Conexão Via USB, Design Moderno, Sistema Óptico, Botão De Rolagem Macio, Compatível Com Windows 7 8 E 10, Cabo De 110 Cm;https://m.media-amazon.com/images/I/51NCC03gCzL.__AC_SX300_SY300_QL70_ML2_.jpg;11;7.4;4;centímetros;0.48;g;
7898506460205;Mouse Multilaser Optico Classic Preto 1200 Dpi Preto Usb - MO179;https://m.media-amazon.com/images/I/51L9L5dc+7L._AC_SX300_SY300_.jpg;14;7.8;3.2;centímetros;70;g;
7899838882345;Mouse com Fio Classic 1200DPI Cabo de 120cm 3 Botões Preto Multi (Multilaser) - MO300;https://m.media-amazon.com/images/I/415cNkqCWlL.__AC_SX300_SY300_QL70_ML2_.jpg;12.2;7.4;3.2;centímetros;60;g;
7897975014254;;;9.55;5.5;3.3;cm;47;g;
7899838812694;Mouse Multilaser Comfort 6 Botões Usb Preto - MO241;https://m.media-amazon.com/images/I/51xdhaIjtNL.__AC_SX300_SY300_QL70_ML2_.jpg;19;11.5;4;centímetros;70;g;
7899838800257;Mouse com Fio Wave Textura Emborrachada Cabo de 130cm Multi - MO222;https://m.media-amazon.com/images/I/419BGFcoxFL.__AC_SX300_SY300_QL70_ML2_.jpg;22;16;5.6;centímetros;70;g;
7897975015688;Mouse Com Fio Maxprint Ergon USB 2.0 Preto 1200DPI;https://m.media-amazon.com/images/I/415+qWx7YUL._AC_SY300_SX300_.jpg;10;7;3.5;centímetros;72;g;
7898554605115;;;;centímetros;240;g;
7897975063177;MOUSE GAMER FATALITY DAZZ;https://m.media-amazon.com/images/I/41PoVFw1TgL.__AC_SY300_SX300_QL70_ML2_.jpg;20.2;14.2;5.8;centímetros;0.18;g;
7898554607249;Fortrek Mouse Gamer RGB BLACK HAWK;https://m.media-amazon.com/images/I/71gaGHKNukL.__AC_SX300_SY300_QL70_ML2_.jpg;17.6;12.4;6.2;centímetros;190;g;
7898554605696;Mouse Gamer Pro M5 4800 DPI Preto Fortrek;https://m.media-amazon.com/images/I/61uhtaeC85L.__AC_SX300_SY300_QL70_ML2_.jpg;19;13.8;6.2;centímetros;240;g;
7898554606655;Mouse Gamer VICKERS RGB 4200DPI Preto Fortrek G;https://m.media-amazon.com/images/I/41ovCVO6dPL.__AC_SX300_SY300_QL70_ML2_.jpg;19.8;14.2;6;centímetros;250;g;
7899838813325;Mouse Gamer 6 Botões LED 3200DPI Preto Multilaser - MO250;https://m.media-amazon.com/images/I/61HJGMvXPxL.__AC_SX300_SY300_QL70_ML2_.jpg;21.6;16.6;6;centímetros;250;g;
7898554607355;;;20;14;6;cm;187;gramas;
7897975075026;MOUSE THUNDERTANK 6200 DPI;https://m.media-amazon.com/images/I/61s0JAiEIuL.__AC_SX300_SY300_QL70_ML2_.jpg;20.8;19.6;14.4;centímetros;180;g;
7898555213838;Mouse Gamer C3Tech USB Bellied RGB Sensor Avago 3325 Botão de Regulagem DPI 7 Botões 7000 DPI USB Gold Macro por Software Preto - MG-700BK;https://m.media-amazon.com/images/I/51BM+Wr6g8L._AC_SY300_SX300_.jpg;21.2;16.2;5.4;centímetros;162;g;
7898555210875;Mouse Gamer C3Tech USB Buzzard Com Led Multicolor 6 Botões 3200 DPI Designer Ergonômico USB Gold Preto - MG-110BK;https://m.media-amazon.com/images/I/51IN2YukUrL.__AC_SX300_SY300_QL70_ML2_.jpg;19;14.2;5.2;centímetros;130;g;
7897975003807;Mouse Gamer 3406FAL 6400 DPI USB 2.0 Preto Dazz;https://m.media-amazon.com/images/I/41vJxtRRBkL.__AC_SX300_SY300_QL70_ML2_.jpg;19.6;14.2;6;centímetros;110;g;
7898555210868;C3Tech Mouse Gamer com fio MG-100BK Harpy Iluminacao LED ergonômico 6 botões 3200 dpi USB Gold Cabo de nylon;https://m.media-amazon.com/images/I/41BgEgQbEqL.__AC_SX300_SY300_QL70_ML2_.jpg;20;14.8;6.4;centímetros;115;g;
