codigo_de_barras;nome_produto;imagem;comprimento;largura;altura;dimensoes_unidade;peso;peso_unidade
7899298633662;Cabo USB - USB-C 1,5m Nylon Preto Intelbras EUAC 15NP;https://intelbras.vtexassets.com/arquivos/ids/168354-800-auto?v=638181921708170000&width=800&height=auto&aspect=true;150;3.4;3.4;cm;0.03;kg;
7896637602860;Cabo USB - Lightning 1,2m PVC branco Intelbras EUAL 12PB;https://intelbras.vtexassets.com/arquivos/ids/157713-800-auto?v=637189277283270000&width=800&height=auto&aspect=true;120;cm;0.024;kg;
7896637602686;Cabo USB - Lightning 1,5m nylon branco Intelbras EUAL 15NB;https://intelbras.vtexassets.com/arquivos/ids/157691-800-auto?v=637189241075030000&width=800&height=auto&aspect=true;150;cm;0.03;kg;
7896637602747;Cabo USB - Micro USB 1,2m PVC branco Intelbras EUAB 12PB;;;;;
7896637602679;Cabo USB - Micro USB 1,5m nylon branco Intelbras EUAB 15NB;https://intelbras.vtexassets.com/arquivos/ids/157774-800-auto?v=637196376825670000&width=800&height=auto&aspect=true;150;cm;;;
7896637602662;Cabo USB - USB-C 1,2m PVC branco Intelbras EUAC 12PB;;;;;
7896637602761;Cabo USB - USB-C 1,5m nylon branco Intelbras EUAC 15NB;https://intelbras.vtexassets.com/arquivos/ids/157767-800-auto?v=637196373071430000&width=800&height=auto&aspect=true;150;cm;0.03;kg;
7896637602778;Cabo USB-C - USB-C 1,2m PVC branco Intelbras EUCC 12PB;https://intelbras.vtexassets.com/arquivos/ids/157655-800-auto?v=637188585906230000&width=800&height=auto&aspect=true;120;cm;0.024;kg;
7896637602754;Cabo USB-C - USB-C 1,5m nylon branco Intelbras EUCC 15NB;https://intelbras.vtexassets.com/arquivos/ids/157663-800-auto?v=637188622179400000&width=800&height=auto&aspect=true;150;cm;0.03;kg;
7899298633754;Cabo USB-C - Lightning 1,2m PVC Preto Intelbras EUCL 12PP;https://intelbras.vtexassets.com/arquivos/ids/165554-800-auto?v=637947229957800000&width=800&height=auto&aspect=true;120;3.4;3.4;cm;0.027;kg;
7899298633761;Cabo USB-C - Lightning 1,5m Nylon Preto Intelbras EUCL 15NP;;;;;
7899298633679;Cabo USB - USB-C 1,2m PVC Preto Intelbras EUAC 12PP;https://intelbras.vtexassets.com/arquivos/ids/168355-800-auto?v=638181926719130000&width=800&height=auto&aspect=true;120;3.4;3.4;cm;0.024;kg;
7899298613794;Kit  Câmera Veicular DC 3102 + Cartão Micro SD 64GB 32TBW Intelbras;;;;;
7899298661306;Câmera de Vídeo IP Bullet VIP 3430 B IA Intelbras;;;;;
7899298672722;Câmera de TV Para Sistema de Segurança VHD 1120 B Full Color Intelbras;;;;;
7899298672746;Câmera de TV Para Sistema de Segurança VHD 1120 D Full Color Intelbras;;;;;
7899298673484;Câmera de TV para Sistema de Segurança VHD 3220 B Full Color+;;;;;
7899298673491;Câmera de TV Para o Sistema de Segurança VHD 3220 D Full Color+;;;;;
