codigo_de_barras;nome_produto;url_imagem;comprimento;largura;altura;dimensoes_unidade;peso;peso_unidade
7898105771511;Abraçadeiras Nylon 100X2.5 Branca C/100;https://m.media-amazon.com/images/I/513amD8FgKL.__AC_SX300_SY300_QL70_ML2_.jpg;19;15,4;0,6;cm;0,03;g
7898105771542;Foxlux Abraçadeiras Nylon 140x3.5 Branca - Pacote com 100 Unidades;https://m.media-amazon.com/images/I/513amD8FgKL.__AC_SX300_SY300_QL70_ML2_.jpg;24,6;8,2;0,8;cm;0,07;g
7898105771535;Foxlux Abraçadeiras Nylon 200x2.5 Branca - Pacote com 100 Unidades;https://m.media-amazon.com/images/I/51gyU9e-e8L.__AC_SX300_SY300_QL70_ML2_.jpg;31,8;12;0,1;cm;0,06;g
7898105771559;Abraçadeiras Nylon 200X3.5 Branca C/100;https://m.media-amazon.com/images/I/51jTXT4DHvL.__AC_SX300_SY300_QL70_ML2_.jpg;28,8;8;1;cm;0,1;g
7898105771580;Foxlux Abraçadeiras Nylon 280x4.8 Branca - Pacote com 100 Unidades;https://m.media-amazon.com/images/I/51gyU9e-e8L.__AC_SX300_SY300_QL70_ML2_.jpg;41;14,2;0,6;cm;0,18;g
7898105771689;Foxlux Abraçadeiras Nylon 280x4.8 Preta - Pacote com 100 Unidades;https://m.media-amazon.com/images/I/519ptOTEbyL.__AC_SX300_SY300_QL70_ML2_.jpg;37,6;16,4;0,6;cm;0,18;g
7899536366345;Acess Point AP Unifi AP LR Long Range uap-lr - Ubiquiti;https://m.media-amazon.com/images/I/61Te+5l-54L._AC_SX300_SY300_.jpg;21,8;20,8;8,4;cm;290;g
7896637683913;Acionador Abertura Infravermelho BT 4000 Intelbras;https://m.media-amazon.com/images/I/41HrDtxheqL.__AC_SX300_SY300_QL70_ML2_.jpg;10;10;5;cm;100;g
7896637684774;Acionador Botoeira Intelbras INOX Embutir 4X2 5000IN 4685000;https://m.media-amazon.com/images/I/51o7P3gSo8L.__AC_SX300_SY300_QL70_ML2_.jpg;10;10;5;cm;150;g
7896637673280;ACIONADOR DE EMERGÊNCIA REARMÁVEL AS 2010;https://m.media-amazon.com/images/I/415cICjAQIS.__AC_SX300_SY300_QL70_ML2_.jpg;50;50;50;mm;300;g
