codigo_de_barras;nome_produto;imagem;comprimento;largura;altura;dimensoes_unidade;peso;peso_unidade
7896637679312;Bloco de Iluminação de Emergência Intelbras BLA 1200;https://intelbras.vtexassets.com/arquivos/ids/156002-800-auto?v=637063914609870000&width=800&height=auto&aspect=true;26;25.7;7;cm;1.261;Kg
7899298643098;Bloco de Iluminação Autonômo BLA 1202 Intelbras;;;;;;;
7896637679329;Bloco de Iluminação Autônomo Intelbras BLA 2200;https://intelbras.vtexassets.com/arquivos/ids/155935-800-auto?v=637063303635070000&width=800&height=auto&aspect=true;26;25.7;7;cm;1.261;Kg
7899298643104;Bloco de Iluminação Autonômo BLA 2202 Intelbras;;;;;;;
7899298632016;Bloco de Iluminação Autônomo Intelbras BLA 400;https://intelbras.vtexassets.com/arquivos/ids/164837-800-auto?v=637878872227870000&width=800&height=auto&aspect=true;17;16.5;4.2;cm;0.313;kg
7899298632023;Bloco de Iluminação Autônomo Intelbras BLA 600;https://intelbras.vtexassets.com/arquivos/ids/164830-800-auto?v=637878868121230000&width=800&height=auto&aspect=true;17;16.5;4.2;cm;0.313;kg
7899298677185;Bomba de Agua Solar Centrifuga P3-3,5M3/H-95M-72V-750W;;;;;;;
7899298677086;Bomba de Agua Solar Centrifuga P4-5,2M3/H-67M-72V-750W;;;;;;;
7899298633143;Botoeira Sem Fio Intelbras BT 100 Branca;https://intelbras.vtexassets.com/arquivos/ids/170089-800-auto?v=638376421897430000&width=800&height=auto&aspect=true;9.8;5.6;4.9;cm;0.55;kg
7899298633136;Botoeira Sem Fio Intelbras BT 100 Preta;;;;;;;
7896637687355;Cabo CFTV 4MM + 2PX26 AWG 100M FAST CAM FC80CBR;;;;;;;
7896637601924;Cabo Engate Rápido Bateria Externa Intelbras CBO 601;https://intelbras.vtexassets.com/arquivos/ids/157963-800-auto?v=637225716667300000&width=800&height=auto&aspect=true;150;20;1.6;cm;in;0.242
7896637601252;Cabo Engate Rápido Bateria Externa Intelbras CBO 603;https://intelbras.vtexassets.com/arquivos/ids/157977-800-auto?v=637226477659600000&width=800&height=auto&aspect=true;150;1.6;cm;0.278;kg;
7899298633655;Cabo USB - Micro USB 1,2m PVC Preto Intelbras EUAB 12PP;https://intelbras.vtexassets.com/arquivos/ids/168366-800-auto?v=638181983341230000&width=800&height=auto&aspect=true;120;3.4;3.4;cm;0.027;kg
7899298633747;Cabo USB - Lightning 1,2m PVC Preto Intelbras EUAL 12PP;https://intelbras.vtexassets.com/arquivos/ids/165531-800-auto?v=637947211391600000&width=800&height=auto&aspect=true;120;3.4;3.4;cm;0.024;kg
7899298633716;Cabo USB - Lightning 1,5m Nylon Preto Intelbras EUAL 15NP;;;;;;;
7899298633686;Cabo USB - Micro USB 1,5m Nylon Preto Intelbras EUAB 15NP;;;;;;;
7896637647557;Combo Telefone sem Fio Intelbras + Dois Ramais Adicionais TS 5123;https://intelbras.vtexassets.com/arquivos/ids/168025-800-auto?v=638162230843170000&width=800&height=auto&aspect=true;16;10.5;10;cm;0.317;Kg
7896637647564;Kit Telefone sem Fio + Ramal  Intelbras TS 5122;https://intelbras.vtexassets.com/arquivos/ids/168022-800-auto?v=638162224900000000&width=800&height=auto&aspect=true;16;10.5;10;cm;0.317;Kg
7896637647571;Ramal sem Fio TS 5121 Preto Intelbras;https://intelbras.vtexassets.com/arquivos/ids/165172-800-auto?v=637915217704730000&width=800&height=auto&aspect=true;15.5;9.8;8.5;cm;0.261;Kg
7896637613255;Telefone Gôngola com Fio Intelbras TC 20 Cinza;https://intelbras.vtexassets.com/arquivos/ids/167986-800-auto?v=638162125578230000&width=800&height=auto&aspect=true;21.5;7;5.4;cm;0.24;Kg
7896637613262;Telefone Gôndola com Fio Intelbras TC 20 Preto;https://intelbras.vtexassets.com/arquivos/ids/168006-800-auto?v=638162160432570000&width=800&height=auto&aspect=true;21.5;7;5.4;cm;0.24;Kg
7896637616485;Telefone com Fio Intelbras TC 50 Branco;https://intelbras.vtexassets.com/arquivos/ids/156118-800-auto?v=637064062044030000&width=800&height=auto&aspect=true;20;14.5;6.5;cm;0.47;Kg
7896637616492;Telefone com Fio Intelbras TC 50 Preto;https://intelbras.vtexassets.com/arquivos/ids/156120-800-auto?v=637064064456630000&width=800&height=auto&aspect=true;20;14.5;6.5;cm;0.47;Kg
7896637611251;Telefone com Fio Tok Fácil Preto Intelbras;https://intelbras.vtexassets.com/arquivos/ids/156148-800-auto?v=637064093931000000&width=800&height=auto&aspect=true;19.5;17.3;8;cm;0.51;Kg
7896637684231;Telefone IP Sem Fio TIP 1001D Intelbras;;;;;;;
7896637621359;Telefone IP V3001 Preto Intelbras;;;;;;;
7899298615071;Telefone IP V3501 Preto Intelbras;;;;;;;
7896637674959;Telefone Sem Fio Intelbras com Ramal Externo TIS 5010;https://intelbras.vtexassets.com/arquivos/ids/165159-800-auto?v=637915051062700000&width=800&height=auto&aspect=true;15.9;10.7;5.3;cm;0.567;Kg
7899298690290;Tomada com Interruptor Inteligente Wi-fi ETS 2001 Preto Intelbras;https://intelbras.vtexassets.com/arquivos/ids/172635-800-auto?v=638629766263670000&width=800&height=auto&aspect=true;12;7.2;4.5;cm;0.162;g
7899298690313;Tomada com 2 Interruptores Inteligentes Wi-fi ETS 2002 Preto Intelbras;https://intelbras.vtexassets.com/arquivos/ids/172737-800-auto?v=638636601635530000&width=800&height=auto&aspect=true;12;7.2;4.5;cm;0.172;g
7899298690269;Tomada Dupla Inteligente Wi-Fi ETS 1002 Branco Intelbras;https://intelbras.vtexassets.com/arquivos/ids/172792-800-auto?v=638641011032200000&width=800&height=auto&aspect=true;12;7.2;4.5;cm;0.16;g
7899298682431;Tomada Inteligente Wi-Fi ETS 1001 Branco Intelbras;https://intelbras.vtexassets.com/arquivos/ids/171842-800-auto?v=638585484545500000&width=800&height=auto&aspect=true;12;7.2;4.5;cm;0.132;g
7899298684022;Tomada Inteligente Wi-Fi ETS 1001 Preto Intelbras;https://intelbras.vtexassets.com/arquivos/ids/171847-800-auto?v=638585485451700000&width=800&height=auto&aspect=true;12;7.2;4.5;cm;0.132;g
7899298690283;Tomada com Interruptor Inteligente Wi-fi ETS 2001 Branco Intelbras;https://intelbras.vtexassets.com/arquivos/ids/172639-800-auto?v=638629767881300000&width=800&height=auto&aspect=true;12;7.2;4.5;cm;0.162;g
7899298690306;Tomada com 2 Interruptores Inteligentes Wi-fi ETS 2002 Branco Intelbras;https://intelbras.vtexassets.com/arquivos/ids/172732-800-auto?v=638636600737000000&width=800&height=auto&aspect=true;12;7.2;4.5;cm;0.172;g
7899298669265;Videoporteiro Residencial com Monofone IVR 4 Intelbras;https://intelbras.vtexassets.com/arquivos/ids/170960-800-auto?v=638491455106470000&width=800&height=auto&aspect=true;21;19.1;6.1;cm;0.626;kg
7899298668206;Videoporteiro Residencial com Monofone IVR 7 Intelbras;https://intelbras.vtexassets.com/arquivos/ids/170962-800-auto?v=638491459630670000&width=800&height=auto&aspect=true;24.4;19.1;6.1;cm;0.753;kg
7899298637875;Videoporteiro Allo wT7 Lite Multi HD com app Allo Plus Intelbras;;;;;;;
7896637659369;Videoporteiro com Visão Noturna e Display 4” IV 4010 HS Intelbras;https://intelbras.vtexassets.com/arquivos/ids/167658-800-auto?v=638143136977330000&width=800&height=auto&aspect=true;20.2;18.8;16;10.7;6;5
7896637644563;Módulo Interno Videoporteiro Intelbras IV 7000 HS IN;https://intelbras.vtexassets.com/arquivos/ids/167701-800-auto?v=638143887435000000&width=800&height=auto&aspect=true;20.2;18.8;6;cm;0.501;Kg
7896637625739;Videoporteiro Intelbras IV 7000 HF IN;https://intelbras.vtexassets.com/arquivos/ids/167682-800-auto?v=638143243496070000&width=800&height=auto&aspect=true;33.5;23.9;11.2;cm;0.476;Kg
7896637669931;Videoporteiro Intelbras IV 7010;https://intelbras.vtexassets.com/arquivos/ids/167880-800-auto?v=638158663579870000&width=800&height=auto&aspect=true;28;16.7;15.8;11.8;8;6.8
7896637668590;Videoporteiro Intelbras IV 7010 HF;https://intelbras.vtexassets.com/arquivos/ids/167646-800-auto?v=638143107290500000&width=800&height=auto&aspect=true;24;11.2;3.5;cm;0.476;Kg
7896637668583;Videoporteiro Intelbras IV 7010 HS Branco;https://intelbras.vtexassets.com/arquivos/ids/167637-800-auto?v=638143102429470000&width=800&height=auto&aspect=true;26.2;18;6.1;cm;0.934;kg
7896637669924;Videoporteiro Intelbras IV 7010 HS;;;;;;;
7896637674263;Vídeo Porteiro IVR 1010 Intelbras com Alta qualidade de imagem;https://intelbras.vtexassets.com/arquivos/ids/167720-800-auto?v=638143906254300000&width=800&height=auto&aspect=true;20.7;19.1;6.1;cm;0.71;Kg
7896637618397;Vídeo Porteiro Módulo Interno e Externo IVR 1070 HS Intelbras;;;;;;;
7896637643122;Vídeo Porteiro Inteligente Izy Smart IVW 3000+ Intelbras;https://intelbras.vtexassets.com/arquivos/ids/169439-800-auto?v=638285697042700000&width=800&height=auto&aspect=true;11.45;4.47;2.7;cm;0.235;kg
7896637687485;VÍdeo Porteiro Multi HD Wi-Fi Intelbras Allo wT7;https://intelbras.vtexassets.com/arquivos/ids/167671-800-auto?v=638143229870270000&width=800&height=auto&aspect=true;23;17.8;13.5;11.4;5.7;1.9
7896637647649;Módulo Externo para Videoporteiro Intelbras IV 7000 ME;https://intelbras.vtexassets.com/arquivos/ids/163500-800-auto?v=637789887524230000&width=800&height=auto&aspect=true;16;10.7;5;cm;0.33;Kg
7896637678995;Módulo Interno para Videoporteiro IVR 1010 Intelbras;https://intelbras.vtexassets.com/arquivos/ids/167714-800-auto?v=638143903107400000&width=800&height=auto&aspect=true;20.7;19.1;6.1;cm;0.564;Kg
7899298627371;Vídeoporteiro Residencial com Monofone IVR 7 ID Intelbras;https://intelbras.vtexassets.com/arquivos/ids/167889-800-auto?v=638158669186570000&width=800&height=auto&aspect=true;24.4;19.1;16.7;11;6.1;5.3
7899298692164;Webcam WCI1080P FULL HD 60 FPS Intelbras;https://intelbras.vtexassets.com/arquivos/ids/173502-800-auto?v=638762825729900000&width=800&height=auto&aspect=true;11.5;11.4;6.7;cm;0.142;Kg
7896637643177;WebCam USB Intelbras CAM-1080p;https://intelbras.vtexassets.com/arquivos/ids/158838-800-auto?v=637381888500070000&width=800&height=auto&aspect=true;11.64;5.71;4.83;cm;0.085;kg
7899298632993;Webcam CAM HD 720p com Microfone e Clip Universal Intelbras;https://intelbras.vtexassets.com/arquivos/ids/164852-800-auto?v=637880402041570000&width=800&height=auto&aspect=true;7;5.5;4.7;cm;0.12;Kg
7899298661023;Switch Não Gerenciável 5 portas Fast SF 500 Hi-PoE Preto Intelbras;https://intelbras.vtexassets.com/arquivos/ids/172986-800-auto?v=638653750254500000&width=800&height=auto&aspect=true;13;8.5;2.6;cm;300;g
